"title","community","type","org","date","time","location","neighborhood","price","capacity","food","drinks","goal","who_for","org_mission","itinerary","register_url","image_keyword","description"
"Black in Tech: Summer Mixer","Black","Networking","AfroTech NY","Thu, Jun 18","6:30-9:00 PM","Brooklyn Brewery","Williamsburg","Free","Capped at 80","Light bites","2 drink tickets, then cash bar","Leave with three new contacts in Black tech you'll actually follow up with.","Black engineers, designers, and PMs across NYC.","Connecting Black technologists and building pathways into tech.","6:30 - Doors & check-in; 7:00 - Welcome; 7:15 - Open networking; 8:45 - Last call","https://example.com/register","tech networking event","Drinks and connections with Black technologists across NYC."
"NSBE Resume & Interview Lab","Black","Workshops","NSBE NYC","Mon, Jun 22","6:00-8:00 PM","Schomburg Center","Central Harlem","Free","Capped at 30","Snacks","Coffee & water","Walk out with a recruiter-ready resume and a sharper interview pitch.","Black students and early-career engineers.","Increasing the number of Black engineers who excel academically and professionally.","6:00 - Check-in; 6:15 - Resume teardown; 7:00 - Mock interviews; 7:45 - Q&A","https://example.com/register","resume workshop laptops","Hands-on resume reviews and mock interviews with senior engineers."
"Black Women in Finance Summit","Black","Conferences","NABA NY","Fri, Jul 11","9:00 AM-4:00 PM","Convene","Financial District","$45","Capped at 250","Full meal (lunch)","Coffee & closing reception","Build a board of mentors and peers to accelerate your finance career.","Black women in accounting, finance, and investing.","Lifting Black professionals in accounting, finance, and business.","9:00 - Registration & breakfast; 10:00 - Keynote; 12:00 - Lunch & panels; 2:00 - Breakouts; 3:30 - Reception","https://example.com/register","business conference stage","A full day of panels and mentorship for Black women in finance."
"MLT Career Prep Info Session","Black","Fellowships","Management Leadership for Tomorrow","Wed, Jun 25","12:00-1:00 PM","Virtual + Midtown hub","Midtown East","Free","Unlimited","None","None","Understand if the MLT fellowship fits your goals and how to apply.","Black, Latino, and Native early-career professionals.","Equipping high-achievers from underrepresented communities to reach senior leadership.","12:00 - Overview; 12:20 - Fellow stories; 12:40 - How to apply; 12:50 - Q&A","https://example.com/register","fellowship info session","Learn about MLT's career advancement fellowship and how to apply."
"Latinas in Leadership Panel","Latino","Panels & talks","Techqueria","Tue, Jun 23","6:30-8:30 PM","Civic Hall","Flatiron","Free","Capped at 120","Light bites","Cash bar","Hear how Latina leaders broke through, and what they'd tell their younger selves.","Latina professionals in tech, finance, and consulting.","Empowering Latinx professionals in tech to thrive and lead.","6:30 - Doors; 7:00 - Panel; 7:50 - Audience Q&A; 8:15 - Networking","https://example.com/register","panel discussion women","Latina leaders on navigating tech, finance, and consulting."
"SHPE NYC Engineering Career Fair","Latino","Career fairs","SHPE","Sat, Jun 28","11:00 AM-3:00 PM","The New Yorker Hotel","Hell's Kitchen","Free","500+","Snacks","Coffee & water","Get face time with recruiters from 30+ companies actively hiring.","Hispanic engineering students and professionals.","Empowering the Hispanic community to realize its potential in STEM.","11:00 - Doors; 11:30 - Resume clinic; 12:00 - Recruiter floor open; 2:30 - Closing","https://example.com/register","career fair booths","Meet recruiters from 30+ companies hiring Hispanic engineers."
"ALPFA Professional Networking Night","Latino","Networking","ALPFA NY","Thu, Jul 2","6:00-8:30 PM","Refinery Rooftop","Garment District","$15","Capped at 90","Light bites","1 drink ticket, then cash bar","Grow your Latino finance network in one focused evening.","Latino accounting, finance, and business professionals.","Building Latino business leaders across finance and accounting.","6:00 - Doors; 6:30 - Welcome; 6:40 - Open networking; 8:15 - Last call","https://example.com/register","professional networking mixer","Monthly mixer for Latino accounting, finance, and business pros."
"Latino Founders Pitch Workshop","Latino","Workshops","Prospanica","Wed, Jul 8","6:00-8:30 PM","WeWork SoHo","SoHo","Free","Capped at 35","Snacks","Beer & soft drinks","Leave with a tighter pitch and direct feedback from founders and VCs.","Latino founders and aspiring entrepreneurs.","Advancing Hispanic professionals through education and connection.","6:00 - Check-in; 6:20 - Pitch frameworks; 7:00 - Live pitch feedback; 8:00 - Networking","https://example.com/register","founders pitch workshop","Sharpen your pitch with feedback from Latino founders and VCs."
"Ascend Pan-Asian Career Fair","Asian","Career fairs","Ascend","Sat, Jun 27","10:00 AM-2:00 PM","Metropolitan Pavilion","Chelsea","Free","500+","Snacks","Coffee & water","Connect directly with employers prioritizing Pan-Asian talent.","Pan-Asian students and professionals across industries.","Developing and elevating Pan-Asian leaders across industries.","10:00 - Doors; 10:30 - Recruiter floor; 12:00 - Lightning talks; 1:30 - Closing","https://example.com/register","career fair networking","Pan-Asian career fair connecting talent with major employers."
"AAPI Leaders Fireside Chat","Asian","Panels & talks","Gold House","Tue, Jul 7","6:30-8:00 PM","Etsy HQ","DUMBO","$20","Capped at 140","Light bites","Wine & beer","Get candid career lessons from AAPI executives and founders.","AAPI professionals and creatives.","Uplifting AAPI leaders and creators to shape culture and business.","6:30 - Doors; 7:00 - Fireside chat; 7:40 - Q&A; 7:55 - Mingle","https://example.com/register","fireside chat audience","Candid conversations with AAPI executives and founders."
